cohortDefinitionId,ruleSequence,personCount,gainCount,personTotal,modeId
211220000,3,0,0,0,0
211220000,4,0,0,0,0
211220000,0,0,0,0,0
211220000,7,0,0,0,0
211220000,5,0,0,0,0
211220000,2,0,0,0,1
211220000,1,0,0,0,1
211220000,6,0,0,0,1
211220000,3,0,0,0,1
211220000,4,0,0,0,1
211220000,0,0,0,0,1
211220000,7,0,0,0,1
211220000,5,0,0,0,1
211230000,2,0,0,0,0
211230000,1,0,0,0,0
211230000,6,0,0,0,0
211230000,3,0,0,0,0
211230000,4,0,0,0,0
211230000,0,0,0,0,0
211230000,7,0,0,0,0
211230000,5,0,0,0,0
211230000,2,0,0,0,1
211230000,1,0,0,0,1
211230000,6,0,0,0,1
211230000,3,0,0,0,1
211230000,4,0,0,0,1
211230000,0,0,0,0,1
211230000,7,0,0,0,1
211230000,5,0,0,0,1
211200010,2,0,0,0,0
211200010,1,0,0,0,0
211200010,6,0,0,0,0
211200010,3,0,0,0,0
211200010,4,0,0,0,0
211200010,0,0,0,0,0
211200010,7,0,0,0,0
211200010,5,0,0,0,0
211200010,2,0,0,0,1
211200010,1,0,0,0,1
211200010,6,0,0,0,1
211200010,3,0,0,0,1
211200010,4,0,0,0,1
211200010,0,0,0,0,1
211200010,7,0,0,0,1
211200010,5,0,0,0,1
211200020,2,0,0,0,0
211200020,1,0,0,0,0
211200020,6,0,0,0,0
211200020,3,0,0,0,0
211200020,4,0,0,0,0
211200020,0,0,0,0,0
211200020,7,0,0,0,0
211200020,5,0,0,0,0
211200020,2,0,0,0,1
211200020,1,0,0,0,1
211200020,6,0,0,0,1
211200020,3,0,0,0,1
211200020,4,0,0,0,1
211200020,0,0,0,0,1
211200020,7,0,0,0,1
211200020,5,0,0,0,1
211201000,2,0,0,0,0
211201000,1,0,0,0,0
211201000,6,0,0,0,0
211201000,3,0,0,0,0
211201000,4,0,0,0,0
211201000,0,0,0,0,0
211201000,7,0,0,0,0
211201000,5,0,0,0,0
211201000,2,0,0,0,1
211201000,1,0,0,0,1
211201000,6,0,0,0,1
211201000,3,0,0,0,1
211201000,4,0,0,0,1
211201000,0,0,0,0,1
211201000,7,0,0,0,1
211201000,5,0,0,0,1
211202000,2,0,0,0,0
211202000,1,0,0,0,0
211202000,6,0,0,0,0
211202000,3,0,0,0,0
211202000,4,0,0,0,0
211202000,0,0,0,0,0
211202000,7,0,0,0,0
211202000,5,0,0,0,0
211202000,2,0,0,0,1
211202000,1,0,0,0,1
211202000,6,0,0,0,1
211202000,3,0,0,0,1
211202000,4,0,0,0,1
211202000,0,0,0,0,1
211202000,7,0,0,0,1
211202000,5,0,0,0,1
211200100,2,0,0,0,0
211200100,1,0,0,0,0
211200100,6,0,0,0,0
211200100,3,0,0,0,0
211200100,4,0,0,0,0
211200100,0,0,0,0,0
211200100,7,0,0,0,0
211200100,5,0,0,0,0
211200100,2,0,0,0,1
211200100,1,0,0,0,1
211200100,6,0,0,0,1
211200100,3,0,0,0,1
211200100,4,0,0,0,1
211200100,0,0,0,0,1
211200100,7,0,0,0,1
211200100,5,0,0,0,1
211200001,2,0,0,0,0
211200001,1,0,0,0,0
211200001,6,0,0,0,0
211200001,3,0,0,0,0
211200001,4,0,0,0,0
211200001,0,0,0,0,0
211200001,7,0,0,0,0
211200001,5,0,0,0,0
211200001,2,0,0,0,1
211200001,1,0,0,0,1
211200001,6,0,0,0,1
211200001,3,0,0,0,1
211200001,4,0,0,0,1
211200001,0,0,0,0,1
211200001,7,0,0,0,1
211200001,5,0,0,0,1
211200002,2,0,0,0,0
211200002,1,0,0,0,0
211200002,6,0,0,0,0
211200002,3,0,0,0,0
211200002,4,0,0,0,0
211200002,0,0,0,0,0
211200002,7,0,0,0,0
211200002,5,0,0,0,0
211200002,2,0,0,0,1
211200002,1,0,0,0,1
211200002,6,0,0,0,1
211200002,3,0,0,0,1
211200002,4,0,0,0,1
211200002,0,0,0,0,1
211200002,7,0,0,0,1
211200002,5,0,0,0,1
212200000,5,0,0,0,0
