cohortDefinitionId,baseCount,finalCount,modeId
251200020,0,0,0
251200020,0,0,1
251201000,0,0,0
251201000,0,0,1
251202000,0,0,0
251202000,0,0,1
251200100,0,0,0
251200100,0,0,1
251200001,0,0,0
251200001,0,0,1
251200002,0,0,0
251200002,0,0,1
252200000,0,0,0
252200000,0,0,1
252210000,0,0,0
252210000,0,0,1
252220000,0,0,0
252220000,0,0,1
252230000,0,0,0
252230000,0,0,1
252200010,0,0,0
252200010,0,0,1
252200020,0,0,0
252200020,0,0,1
252201000,0,0,0
252201000,0,0,1
252202000,0,0,0
252202000,0,0,1
252200100,0,0,0
252200100,0,0,1
252200001,0,0,0
252200001,0,0,1
252200002,0,0,0
252200002,0,0,1
261100000,0,0,0
261100000,0,0,1
261110000,0,0,0
261110000,0,0,1
261120000,0,0,0
261120000,0,0,1
261130000,0,0,0
261130000,0,0,1
261100010,0,0,0
261100010,0,0,1
261100020,0,0,0
261100020,0,0,1
261101000,0,0,0
261101000,0,0,1
261102000,0,0,0
261102000,0,0,1
261100100,0,0,0
261100100,0,0,1
261100001,0,0,0
261100001,0,0,1
261100002,0,0,0
261100002,0,0,1
262100000,0,0,0
262100000,0,0,1
262110000,0,0,0
262110000,0,0,1
262120000,0,0,0
262120000,0,0,1
262130000,0,0,0
262130000,0,0,1
262100010,0,0,0
262100010,0,0,1
262100020,0,0,0
262100020,0,0,1
262101000,0,0,0
262101000,0,0,1
262102000,0,0,0
262102000,0,0,1
262100100,0,0,0
262100100,0,0,1
262100001,0,0,0
262100001,0,0,1
262100002,0,0,0
262100002,0,0,1
261200000,0,0,0
261200000,0,0,1
261210000,0,0,0
261210000,0,0,1
261220000,0,0,0
261220000,0,0,1
261230000,0,0,0
261230000,0,0,1
261200010,0,0,0
261200010,0,0,1
261200020,0,0,0
261200020,0,0,1
261201000,0,0,0
261201000,0,0,1
261202000,0,0,0
261202000,0,0,1
261200100,0,0,0
261200100,0,0,1
261200001,0,0,0
261200001,0,0,1
261200002,0,0,0
261200002,0,0,1
262200000,0,0,0
262200000,0,0,1
262210000,0,0,0
262210000,0,0,1
262220000,0,0,0
262220000,0,0,1
262230000,0,0,0
262230000,0,0,1
262200010,0,0,0
262200010,0,0,1
262200020,0,0,0
262200020,0,0,1
262201000,0,0,0
262201000,0,0,1
262202000,0,0,0
262202000,0,0,1
262200100,0,0,0
262200100,0,0,1
262200001,0,0,0
262200001,0,0,1
262200002,0,0,0
262200002,0,0,1
271100000,0,0,0
271100000,0,0,1
271110000,0,0,0
271110000,0,0,1
271120000,0,0,0
271120000,0,0,1
271130000,0,0,0
271130000,0,0,1
271100010,0,0,0
271100010,0,0,1
271100020,0,0,0
271100020,0,0,1
271101000,0,0,0
271101000,0,0,1
271102000,0,0,0
271102000,0,0,1
271100100,0,0,0
271100100,0,0,1
271100001,0,0,0
271100001,0,0,1
271100002,0,0,0
271100002,0,0,1
272100000,0,0,0
272100000,0,0,1
272110000,0,0,0
272110000,0,0,1
272120000,0,0,0
272120000,0,0,1
272130000,0,0,0
272130000,0,0,1
272100010,0,0,0
272100010,0,0,1
272100020,0,0,0
272100020,0,0,1
272101000,0,0,0
272101000,0,0,1
272102000,0,0,0
272102000,0,0,1
272100100,0,0,0
272100100,0,0,1
272100001,0,0,0
272100001,0,0,1
272100002,0,0,0
272100002,0,0,1
271200000,0,0,0
271200000,0,0,1
271210000,0,0,0
271210000,0,0,1
271220000,0,0,0
271220000,0,0,1
271230000,0,0,0
271230000,0,0,1
271200010,0,0,0
271200010,0,0,1
271200020,0,0,0
271200020,0,0,1
271201000,0,0,0
271201000,0,0,1
271202000,0,0,0
271202000,0,0,1
271200100,0,0,0
271200100,0,0,1
271200001,0,0,0
271200001,0,0,1
271200002,0,0,0
271200002,0,0,1
272200000,0,0,0
272200000,0,0,1
272210000,0,0,0
272210000,0,0,1
272220000,0,0,0
272220000,0,0,1
272230000,0,0,0
272230000,0,0,1
272200010,0,0,0
272200010,0,0,1
272200020,0,0,0
272200020,0,0,1
272201000,0,0,0
272201000,0,0,1
272202000,0,0,0
272202000,0,0,1
272200100,0,0,0
272200100,0,0,1
272200001,0,0,0
272200001,0,0,1
272200002,0,0,0
272200002,0,0,1
281100000,0,0,0
281100000,0,0,1
281110000,0,0,0
281110000,0,0,1
281120000,0,0,0
281120000,0,0,1
281130000,0,0,0
281130000,0,0,1
281100010,0,0,0
281100010,0,0,1
281100020,0,0,0
281100020,0,0,1
281101000,0,0,0
281101000,0,0,1
281102000,0,0,0
281102000,0,0,1
281100100,0,0,0
281100100,0,0,1
281100001,0,0,0
281100001,0,0,1
281100002,0,0,0
281100002,0,0,1
282100000,0,0,0
282100000,0,0,1
282110000,0,0,0
282110000,0,0,1
282120000,0,0,0
282120000,0,0,1
