cohortDefinitionId,ruleSequence,personCount,gainCount,personTotal,modeId
311102000,6,0,0,0,1
311102000,3,0,0,0,1
311102000,4,0,0,0,1
311102000,0,0,0,0,1
311102000,7,0,0,0,1
311102000,5,0,0,0,1
311100100,2,0,0,0,0
311100100,1,0,0,0,0
311100100,6,0,0,0,0
311100100,3,0,0,0,0
311100100,4,0,0,0,0
311100100,0,0,0,0,0
311100100,7,0,0,0,0
311100100,5,0,0,0,0
311100100,2,0,0,0,1
311100100,1,0,0,0,1
311100100,6,0,0,0,1
311100100,3,0,0,0,1
311100100,4,0,0,0,1
311100100,0,0,0,0,1
311100100,7,0,0,0,1
311100100,5,0,0,0,1
311100001,2,0,0,0,0
311100001,1,0,0,0,0
311100001,6,0,0,0,0
311100001,3,0,0,0,0
311100001,4,0,0,0,0
311100001,0,0,0,0,0
311100001,7,0,0,0,0
311100001,5,0,0,0,0
311100001,2,0,0,0,1
311100001,1,0,0,0,1
311100001,6,0,0,0,1
311100001,3,0,0,0,1
311100001,4,0,0,0,1
311100001,0,0,0,0,1
311100001,7,0,0,0,1
311100001,5,0,0,0,1
311100002,2,0,0,0,0
311100002,1,0,0,0,0
311100002,6,0,0,0,0
311100002,3,0,0,0,0
311100002,4,0,0,0,0
311100002,0,0,0,0,0
311100002,7,0,0,0,0
311100002,5,0,0,0,0
311100002,2,0,0,0,1
311100002,1,0,0,0,1
311100002,6,0,0,0,1
311100002,3,0,0,0,1
311100002,4,0,0,0,1
311100002,0,0,0,0,1
311100002,7,0,0,0,1
311100002,5,0,0,0,1
312100000,5,0,0,0,0
312100000,2,0,0,0,0
312100000,6,0,0,0,0
312100000,3,0,0,0,0
312100000,4,0,0,0,0
312100000,1,0,0,0,0
312100000,0,0,0,0,0
312100000,5,0,0,0,1
312100000,2,0,0,0,1
312100000,6,0,0,0,1
312100000,3,0,0,0,1
312100000,4,0,0,0,1
312100000,1,0,0,0,1
312100000,0,0,0,0,1
312110000,2,0,0,0,0
312110000,1,0,0,0,0
312110000,6,0,0,0,0
312110000,3,0,0,0,0
312110000,4,0,0,0,0
312110000,0,0,0,0,0
312110000,7,0,0,0,0
312110000,5,0,0,0,0
312110000,2,0,0,0,1
312110000,1,0,0,0,1
312110000,6,0,0,0,1
312110000,3,0,0,0,1
312110000,4,0,0,0,1
312110000,0,0,0,0,1
312110000,7,0,0,0,1
312110000,5,0,0,0,1
312120000,2,0,0,0,0
312120000,1,0,0,0,0
312120000,6,0,0,0,0
312120000,3,0,0,0,0
312120000,4,0,0,0,0
312120000,0,0,0,0,0
312120000,7,0,0,0,0
312120000,5,0,0,0,0
312120000,2,0,0,0,1
312120000,1,0,0,0,1
312120000,6,0,0,0,1
312120000,3,0,0,0,1
312120000,4,0,0,0,1
312120000,0,0,0,0,1
312120000,7,0,0,0,1
312120000,5,0,0,0,1
312130000,2,0,0,0,0
312130000,1,0,0,0,0
312130000,6,0,0,0,0
312130000,3,0,0,0,0
312130000,4,0,0,0,0
312130000,0,0,0,0,0
312130000,7,0,0,0,0
312130000,5,0,0,0,0
312130000,2,0,0,0,1
312130000,1,0,0,0,1
312130000,6,0,0,0,1
312130000,3,0,0,0,1
312130000,4,0,0,0,1
312130000,0,0,0,0,1
312130000,7,0,0,0,1
312130000,5,0,0,0,1
312100010,2,0,0,0,0
312100010,1,0,0,0,0
312100010,6,0,0,0,0
312100010,3,0,0,0,0
312100010,4,0,0,0,0
312100010,0,0,0,0,0
312100010,7,0,0,0,0
