cohortId,targetId,comparator1Id,comparator2Id,comparator3Id,tar,met,age,sex,obese,,,,tar,met,age,sex,obese,,age(0/1),sex(0/1)
2021010,20,10,30,40,ot2,with,any,female,any,0,2021010,#NUM!,2,1,0,1,0,,0,1
2021020,20,10,30,40,ot2,with,any,male,any,0,2021020,#NUM!,2,1,0,2,0,,0,1
2021011,20,10,30,40,ot2,with,any,female,with,0,2021011,#NUM!,2,1,0,1,1,,0,1
2021021,20,10,30,40,ot2,with,any,male,with,0,2021021,#NUM!,2,1,0,2,1,,0,1
2021100,20,10,30,40,ot2,with,younger,any,any,0,2021100,#NUM!,2,1,1,0,0,,1,0
2021101,20,10,30,40,ot2,with,younger,any,with,0,2021101,#NUM!,2,1,1,0,1,,1,0
2021110,20,10,30,40,ot2,with,younger,female,any,0,2021110,#NUM!,2,1,1,1,0,,1,1
2021120,20,10,30,40,ot2,with,younger,male,any,0,2021120,#NUM!,2,1,1,2,0,,1,1
2021111,20,10,30,40,ot2,with,younger,female,with,0,2021111,#NUM!,2,1,1,1,1,,1,1
2021121,20,10,30,40,ot2,with,younger,male,with,0,2021121,#NUM!,2,1,1,2,1,,1,1
2021300,20,10,30,40,ot2,with,older,any,any,0,2021300,#NUM!,2,1,3,0,0,,1,0
2021301,20,10,30,40,ot2,with,older,any,with,0,2021301,#NUM!,2,1,3,0,1,,1,0
2021310,20,10,30,40,ot2,with,older,female,any,0,2021310,#NUM!,2,1,3,1,0,,1,1
2021320,20,10,30,40,ot2,with,older,male,any,0,2021320,#NUM!,2,1,3,2,0,,1,1
2021311,20,10,30,40,ot2,with,older,female,with,0,2021311,#NUM!,2,1,3,1,1,,1,1
2021321,20,10,30,40,ot2,with,older,male,with,0,2021321,#NUM!,2,1,3,2,1,,1,1
3010000,30,10,20,40,ot1,no,any,any,any,0,3010000,80,1,0,0,0,0,,0,0
3010001,30,10,20,40,ot1,no,any,any,with,0,3010001,81,1,0,0,0,1,,0,0
3010010,30,10,20,40,ot1,no,any,female,any,0,3010010,82,1,0,0,1,0,,0,1
3010020,30,10,20,40,ot1,no,any,male,any,0,3010020,82,1,0,0,2,0,,0,1
3010011,30,10,20,40,ot1,no,any,female,with,0,3010011,83,1,0,0,1,1,,0,1
3010021,30,10,20,40,ot1,no,any,male,with,0,3010021,83,1,0,0,2,1,,0,1
3010100,30,10,20,40,ot1,no,younger,any,any,0,3010100,84,1,0,1,0,0,,1,0
3010101,30,10,20,40,ot1,no,younger,any,with,0,3010101,85,1,0,1,0,1,,1,0
3010110,30,10,20,40,ot1,no,younger,female,any,0,3010110,86,1,0,1,1,0,,1,1
3010120,30,10,20,40,ot1,no,younger,male,any,0,3010120,86,1,0,1,2,0,,1,1
3010111,30,10,20,40,ot1,no,younger,female,with,0,3010111,87,1,0,1,1,1,,1,1
